topic_id,topic_name,subfield_display_name,field_display_name,domain_display_name,works_count,cited_by_count,keywords
https://openalex.org/T11881,Crystallization and Solubility Studies,Materials Chemistry,Materials Science,Physical Sciences,974612,774445,Crystallization; Nucleation; Solubility; Polymorphism; Ultrasound-Assisted Crystallization; Process Analytical Technology; Crystal Growth; Pharmaceutical Crystallization; Continuous Crystallization; Crystal Engineering
https://openalex.org/T12613,X-ray Diffraction in Crystallography,Materials Chemistry,Materials Science,Physical Sciences,220807,1151004,Powder Diffraction; Crystallography; Structure Determination; Pair Distribution Function; Nanoparticles; Rietveld Refinement; Total Scattering; High-Resolution X-Ray Diffraction; Crystal Structure; Quantitative Phase Analysis
https://openalex.org/T10192,Catalytic Processes in Materials Science,Materials Chemistry,Materials Science,Physical Sciences,195868,4052920,Catalysis; Nanoparticles; Oxidation; Ceria; Gold; Metal-Support Interactions; Low-Temperature; Selective Oxidation; NOx Reduction; Methane Activation
https://openalex.org/T13129,Material Properties and Applications,General Materials Science,Materials Science,Physical Sciences,171958,503469,Polymer Composite Materials; Carbon Fiber Reinforced Plastics; Metal Nanoparticles; Aerospace Applications; Adhesive Joints; High-Temperature Composite Materials; Epoxy Binders; Synthesis Techniques; Structural Properties; Catalytic Conversions
https://openalex.org/T10472,Semiconductor materials and devices,Electrical and Electronic Engineering,Engineering,Physical Sciences,162400,2196713,Atomic Layer Deposition; High-k Dielectrics; Gate Oxides; Semiconductor Devices; Nanoelectronics; Thin Film Growth; Dielectric Breakdown; Metal Gate Transistors; Interface Engineering; NBTI Degradation
https://openalex.org/T10399,Hydrocarbon exploration and reservoir analysis,Mechanics of Materials,Engineering,Physical Sciences,154351,1772411,Shale Gas; Pore Structure; Mudstones; Gas Permeability; Thermal Maturity; Nanopores; Organic Matter; Fracture Permeability; Tight Reservoirs; Geochemical Evolution
https://openalex.org/T12039,Electron and X-Ray Spectroscopy Techniques,"Surfaces, Coatings and Films",Materials Science,Physical Sciences,136319,1753173,X-ray Photoelectron Spectroscopy; Scanning Electron Microscopy; Electron Inelastic Mean Free Paths; Ambient Pressure Photoelectron Spectroscopy; Surface Science; Quantitative Surface Analysis; Secondary Electron Emission; Nanomaterials Characterization; Environmental Scanning Electron Microscopy; Hard X-ray Photoemission Spectroscopy
https://openalex.org/T11201,Metallurgy and Material Forming,Mechanics of Materials,Engineering,Physical Sciences,132952,622712,Dynamic Recrystallization; Hot Deformation; Constitutive Modeling; Metallic Materials; Flow Behavior; Microstructural Evolution; High Temperature; Nucleation Mechanisms; Artificial Neural Networks; Processing Maps
https://openalex.org/T10018,Advancements in Battery Materials,Electrical and Electronic Engineering,Engineering,Physical Sciences,131682,4369933,Lithium-ion Batteries; Battery Materials; Energy Storage; Nanostructured Anodes; Cathode Materials; Electrochemical Performance; Rechargeable Batteries; Anode Materials; Battery Technology; Electrode Materials
https://openalex.org/T10377,Metal and Thin Film Mechanics,Mechanics of Materials,Engineering,Physical Sciences,123895,1661362,Nanoindentation; Thin Films; Coatings; Mechanical Properties; Sputtering; Hardness; Elastic Modulus; Nanocomposites; Tribological Behavior; X-ray Photoelectron Spectroscopy
https://openalex.org/T10409,Fuel Cells and Related Materials,Electrical and Electronic Engineering,Engineering,Physical Sciences,123164,2124038,Polymer Electrolyte Membranes; Proton Exchange Membranes; Fuel Cell Durability; High-Temperature Operation; Anion Exchange Membranes; Membrane Degradation; PEM Fuel Cells; Hydrogen Fuel Cells; Direct Methanol Fuel Cells; Alkaline Fuel Cells
https://openalex.org/T10660,Conducting polymers and applications,Polymers and Plastics,Materials Science,Physical Sciences,119279,2472699,Conducting Polymers; Polyaniline; PEDOT:PSS; Nanofibers; Electrochemical Sensors; Biomedical Applications; Organic Electronics; Electrochromic Materials; Nanocomposites; Tissue Engineering
